School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,5_Enrollment,6_Enrollment,7_Enrollment,8_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School,PPI_met
10405,Frolio Middle School,Public School,Abington,2351,"07,08",Abington,10000,0,0,159,169,0,328,18.0,5.5,6.0,1.8,43.0,13.1,101.0,30.8,71.0,21.6,2.4,1.8,6.1,89.3,0.0,0.0,0.3,53.4,46.6,218.0,21.1,342.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84,40.0,63.0,0,1,0
30305,Albert F Ford Middle School,Public School,Acushnet,2743,"05,06,07,08",Acushnet,30000,105,121,77,114,0,417,4.0,1.0,2.0,0.5,57.0,13.7,122.0,29.3,82.0,19.7,0.7,0.2,1.0,97.4,0.0,0.0,0.7,50.8,49.2,309.0,16.9,426.0,4543438.0,64906.0,70.0,10825382.24,967.5,11189.03,15201154.44,1281.7,11860.15,53.0,52.0,0,1,0
50405,Agawam Junior High,Public School,Feeding Hills,1030,"07,08",Agawam,50000,0,0,253,309,0,562,35.0,6.2,6.0,1.1,84.0,14.9,194.0,34.5,131.0,23.3,1.4,1.4,7.1,87.0,0.0,0.0,3.0,47.9,52.1,847.0,11.8,607.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,30.0,54.0,0,1,0
50303,Roberta G. Doering School,Public School,Agawam,1001,"05,06,07,08",Agawam,50000,290,304,3,2,0,599,59.0,9.8,28.0,4.7,91.0,15.2,246.0,41.1,180.0,30.1,2.5,4.2,7.0,83.3,0.0,0.0,3.0,53.4,46.6,348.0,16.8,598.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,54.0,52.0,0,1,0
70013,Amesbury Middle,Public School,Amesbury,1913,"05,06,07,08",Amesbury,70000,173,158,178,170,0,679,21.0,3.1,11.0,1.6,120.0,17.7,231.0,34.0,152.0,22.4,1.2,1.0,6.6,86.9,0.3,0.1,3.8,51.1,48.9,410.0,18.4,696.0,12158388.0,77147.0,158.0,29541449.55,2272.2,13001.25,33668081.3,2444.7,13771.87,50.0,50.0,0,1,0
90310,Andover West Middle,Public School,Andover,1810,"06,07,08",Andover,90000,0,182,172,178,0,532,43.0,8.1,6.0,1.1,89.0,16.7,125.0,23.5,40.0,7.5,1.1,15.6,3.6,77.3,0.0,0.0,2.4,46.2,53.8,276.0,19.9,541.0,37560123.0,81211.0,463.0,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,85.0,81.0,0,1,1
90305,Doherty Middle,Public School,Andover,1810,"06,07,08",Andover,90000,0,204,168,189,0,561,52.0,9.3,5.0,0.9,112.0,20.0,127.0,22.6,26.0,4.6,0.5,13.5,3.7,79.0,0.5,0.0,2.7,50.8,49.2,293.0,19.4,557.0,37560123.0,81211.0,463.0,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,91.0,97.0,0,1,1
90350,Wood Hill Middle School,Public School,Andover,1810,"06,07,08",Andover,90000,0,120,143,156,0,419,79.0,18.9,6.0,1.4,79.0,18.9,110.0,26.3,28.0,6.7,3.1,26.5,6.2,61.8,0.0,0.0,2.4,45.8,54.2,232.0,18.6,423.0,37560123.0,81211.0,463.0,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,86.0,87.0,0,1,1
100410,Ottoson Middle,Public School,Arlington,2476,"06,07,08",Arlington,100000,0,421,409,378,0,1208,156.0,12.9,27.0,2.2,182.0,15.1,303.0,25.1,119.0,9.9,4.2,10.0,5.5,75.3,0.0,0.0,5.0,47.0,53.0,639.0,19.1,1148.0,23917577.0,66493.0,360.0,64938117.22,5272.4,12316.61,72601544.08,5425.0,13382.77,82.0,73.0,0,1,0
140405,Ashland Middle,Public School,Ashland,1721,"06,07,08",Ashland,140000,0,179,206,202,0,587,114.0,19.4,14.0,2.4,85.0,14.5,172.0,29.3,87.0,14.8,2.4,12.1,11.2,71.0,0.3,0.0,2.9,48.7,51.3,388.0,19.1,621.0,14049291.0,76355.0,184.0,33283483.06,2586.6,12867.66,37183646.87,2732.5,13607.92,88.0,91.0,0,1,1
160315,Cyril K. Brennan Middle School,Public School,Attleboro,2703,"05,06,07,08",Attleboro,160000,145,123,141,143,0,552,78.0,14.1,27.0,4.9,82.0,14.9,251.0,45.5,178.0,32.2,4.2,4.9,18.1,64.9,0.4,0.4,7.2,53.3,46.7,227.0,20.8,558.0,30332791.0,76386.0,397.0,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,63.0,66.0,0,1,0
160305,Robert J. Coelho Middle School,Public School,Attleboro,2703,"05,06,07,08",Attleboro,160000,164,141,195,163,0,663,50.0,7.5,10.0,1.5,116.0,17.5,228.0,34.4,131.0,19.8,3.6,3.6,10.6,76.8,0.0,0.0,5.4,51.0,49.0,278.0,24.3,689.0,30332791.0,76386.0,397.0,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,68.0,79.0,0,1,1
160320,Wamsutta Middle School,Public School,Attleboro,2703,"05,06,07,08",Attleboro,160000,150,146,136,147,0,579,99.0,17.1,20.0,3.5,99.0,17.1,256.0,44.2,181.0,31.3,6.0,5.9,18.7,64.9,0.0,0.2,4.3,53.7,46.3,228.0,21.8,563.0,30332791.0,76386.0,397.0,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,44.0,46.0,0,1,0
170305,Auburn Middle,Public School,Auburn,1501,"06,07,08",Auburn,170000,0,206,210,208,0,624,38.0,6.1,16.0,2.6,41.0,6.6,142.0,22.8,101.0,16.2,1.8,4.2,5.4,85.6,0.3,0.0,2.7,50.6,49.4,308.0,19.0,616.0,12040430.0,69481.0,173.0,31001398.57,2351.2,13185.35,32811408.1,2416.0,13580.88,44.0,59.0,0,1,0
180510,Avon Middle High School,Public School,Avon,2322,"07,08,09,10,11,12",Avon,180000,0,0,59,61,4,319,23.0,7.2,7.0,2.2,52.0,16.3,111.0,34.8,76.0,23.8,37.3,5.6,4.7,48.3,0.6,0.0,3.4,48.3,51.4,218.0,13.3,320.0,4367245.0,67547.0,65.0,10237116.28,728.8,14046.54,10583378.28,740.9,14284.49,29.0,60.0,0,1,0
200315,Barnstable Intermediate School,Public School,Hyannis,2601,"06,07",Barnstable,200000,0,357,397,0,0,754,89.0,11.8,40.0,5.3,134.0,17.8,353.0,46.8,243.0,32.2,8.0,1.7,9.9,74.7,0.5,0.0,5.2,48.7,51.3,463.0,15.1,752.0,29148135.0,78757.0,370.0,72770120.43,4866.8,14952.35,83705428.29,5575.6,15012.81,42.0,48.0,0,1,0
