School Code,School Name,School Type,Town,Zip,Grade,District Name,District Code,9_Enrollment,10_Enrollment,11_Enrollment,12_Enrollment,SP_Enrollment,TOTAL_Enrollment,First Language Not English,% First Language Not English,English Language Learner,% English Language Learner,Students With Disabilities,% Students With Disabilities,High Needs,% High Needs,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Total # of Classes,Average Class Size,Number of Students,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,Average In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,SAT_Tests Taken,MCAS_10thGrade_Math_SGP,MCAS_10thGrade_Math_Incl. in SGP(#),MCAS_10thGrade_English_SGP,MCAS_10thGrade_English_Incl. in SGP(#),School Accountability Percentile (1-99),Progress and Performance Index (PPI) - All Students,Charter School,Public School
10505,Abington High,Public School,Abington,2351,"09,10,11,12",Abington,10000,124,109,123,92,4,452,24.0,5.3,11.0,2.4,44.0,9.7,130.0,28.8,97.0,21.5,2.2,1.5,9.1,85.8,0.2,0.2,0.9,45.6,54.4,204.0,15.8,451.0,9489496.0,74662.0,127.0,23365711.18,1939.0,12050.39,27229100.8,2051.8,13270.84,114.0,94.7,0.9,0.0,0.9,3.5,0.0,124.0,94.0,75.8,1.1,22.3,30.9,45.7,30.9,19.1,9.6,98.0,52.5,114.0,56.0,111.0,42.0,76.0,0,1
50505,Agawam High,Public School,Agawam,1001,"09,10,11,12",Agawam,50000,299,309,293,315,6,1222,56.0,4.6,16.0,1.3,172.0,14.1,391.0,32.0,277.0,22.7,1.2,2.2,5.8,88.8,0.0,0.1,1.9,52.0,48.0,590.0,16.8,1242.0,20849537.0,64769.0,322.0,53871628.43,3976.8,13546.48,59044278.63,4110.8,14363.21,325.0,94.2,1.8,0.0,0.3,3.7,0.0,288.0,235.0,81.6,0.0,34.5,34.0,31.5,33.2,15.7,8.5,234.0,45.0,270.0,51.0,263.0,41.0,65.0,0,1
70505,Amesbury High,Public School,Amesbury,1913,"09,10,11,12",Amesbury,70000,147,138,145,163,1,594,17.0,2.9,3.0,0.5,101.0,17.0,154.0,25.9,87.0,14.6,1.3,1.2,4.2,90.7,0.0,0.0,2.5,53.5,46.5,380.0,16.7,621.0,12158388.0,77147.0,158.0,29541449.55,2272.2,13001.25,33668081.3,2444.7,13771.87,163.0,93.9,4.3,0.0,0.6,1.2,0.0,124.0,90.0,72.6,0.0,24.4,35.6,40.0,35.6,6.7,15.6,115.0,56.0,131.0,41.0,133.0,53.0,67.0,0,1
70515,Amesbury Innovation High School,Public School,Amesbury,1913,"09,10,11,12",Amesbury,70000,7,2,11,11,0,31,0.0,0.0,0.0,0.0,16.0,51.6,26.0,83.9,23.0,74.2,0.0,0.0,6.5,87.1,0.0,0.0,6.5,64.5,35.5,42.0,7.6,33.0,12158388.0,77147.0,158.0,29541449.55,2272.2,13001.25,33668081.3,2444.7,13771.87,9.0,66.7,22.2,0.0,0.0,11.1,0.0,175.62191780821917,143.08797653958945,74.4982404692082,0.15249266862170088,32.550439882697944,32.0633431085044,35.23870967741935,30.900293255131963,12.958944281524927,13.473607038123166,2.0,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,51.50445103857567,75.01474926253687,0,1
90505,Andover High,Public School,Andover,1810,"09,10,11,12",Andover,90000,446,459,421,462,18,1806,172.0,9.5,14.0,0.8,290.0,16.1,377.0,20.9,113.0,6.3,1.9,14.5,5.0,76.3,0.1,0.0,2.2,48.9,51.1,1160.0,14.7,1799.0,37560123.0,81211.0,463.0,90103626.13,6128.1,14703.35,97309355.83,6237.1,15601.7,441.0,95.7,3.4,0.0,0.5,0.5,0.0,413.0,369.0,89.3,0.0,56.4,7.6,36.0,7.3,3.5,13.8,393.0,54.0,332.0,42.0,310.0,81.0,85.0,0,1
100505,Arlington High,Public School,Arlington,2476,"09,10,11,12",Arlington,100000,332,350,312,295,1,1290,160.0,12.4,12.0,0.9,143.0,11.1,267.0,20.7,133.0,10.3,4.1,10.7,5.7,75.6,0.0,0.2,3.7,49.1,50.9,682.0,14.3,1255.0,23917577.0,66493.0,360.0,64938117.22,5272.4,12316.61,72601544.08,5425.0,13382.77,318.0,98.1,0.3,0.3,0.0,1.3,0.0,306.0,260.0,85.0,0.0,53.5,9.6,36.9,8.5,4.6,19.6,271.0,49.0,263.0,43.5,264.0,73.0,79.0,0,1
140505,Ashland High,Public School,Ashland,1721,"09,10,11,12",Ashland,140000,202,172,183,187,0,744,84.0,11.3,13.0,1.7,98.0,13.2,170.0,22.8,77.0,10.3,2.0,9.0,9.4,77.2,0.3,0.0,2.2,48.8,51.2,431.0,14.6,746.0,14049291.0,76355.0,184.0,33283483.06,2586.6,12867.66,37183646.87,2732.5,13607.92,184.0,95.1,0.5,1.6,1.6,1.1,0.0,162.0,142.0,87.7,0.0,34.5,9.9,55.6,9.9,17.6,17.6,160.0,77.0,165.0,67.0,164.0,89.0,94.0,0,1
160515,Attleboro Community Academy,Public School,Attleboro,2703,"09,10,11,12",Attleboro,160000,0,14,35,14,0,63,8.0,12.7,0.0,0.0,6.0,9.5,34.0,54.0,29.0,46.0,1.6,1.6,11.1,76.2,1.6,0.0,7.9,54.0,46.0,50.0,7.6,72.0,30332791.0,76386.0,397.0,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,55.0,43.6,43.6,0.0,0.0,12.7,0.0,32.0,7.0,21.9,0.0,0.0,100.0,0.0,100.0,0.0,0.0,3.0,50.57507507507508,167.36857142857144,50.83483483483484,166.0625,51.50445103857567,75.01474926253687,0,1
160505,Attleboro High,Public School,Attleboro,2703,"09,10,11,12",Attleboro,160000,449,401,419,392,10,1671,170.0,10.2,38.0,2.3,238.0,14.2,593.0,35.5,428.0,25.6,5.5,4.1,12.5,73.6,0.3,0.2,3.8,54.2,45.8,930.0,18.1,1724.0,30332791.0,76386.0,397.0,72586690.41,5798.7,12517.75,81366329.22,6268.4,12980.4,411.0,91.0,3.4,1.0,0.5,4.1,0.0,358.0,266.0,74.3,0.0,35.3,31.6,33.1,29.3,14.7,11.3,299.0,37.0,368.0,53.0,370.0,30.0,75.0,0,1
170505,Auburn Senior High,Public School,Auburn,1501,"PK,09,10,11,12",Auburn,170000,174,197,175,157,4,795,45.0,5.7,17.0,2.1,76.0,9.6,189.0,23.8,121.0,15.2,2.1,4.3,6.4,84.0,0.4,0.0,2.8,48.1,51.9,561.0,17.3,776.0,12040430.0,69481.0,173.0,31001398.57,2351.2,13185.35,32811408.1,2416.0,13580.88,160.0,96.9,1.3,0.6,0.6,0.6,0.0,158.0,125.0,79.1,0.0,33.6,18.4,48.0,17.6,24.8,14.4,134.0,27.0,159.0,42.0,161.0,45.0,67.0,0,1
